Country,Country Code,GDP_Per_Capita_USD
Africa Eastern and Southern,AFE,1647.0
Africa Western and Central,AFW,1564.0
Albania,ALB,9518.0
Algeria,DZA,5197.0
Andorra,AND,46103.0
Angola,AGO,2305.0
Antigua and Barbuda,ATG,21787.0
Arab World,ARB,7242.0
Argentina,ARG,14067.0
Armenia,ARM,8168.0
Australia,AUS,64660.0
Austria,AUT,56510.0
Azerbaijan,AZE,7126.0
"Bahamas, The",BHS,35897.0
Bahrain,BHR,27396.0
Bangladesh,BGD,2551.0
Barbados,BRB,22645.0
Belarus,BLR,7829.0
Belgium,BEL,53669.0
Belize,BLZ,7982.0
Benin,BEN,1394.0
Bolivia,BOL,3745.0
Bosnia and Herzegovina,BIH,8494.0
Botswana,BWA,7820.0
Brazil,BRA,10295.0
Brunei Darussalam,BRN,32963.0
Bulgaria,BGR,15758.0
Burkina Faso,BFA,883.0
Burundi,BDI,193.0
Cabo Verde,CPV,4953.0
Cambodia,KHM,1824.0
Cameroon,CMR,1690.0
Canada,CAN,53391.0
Caribbean small states,CSS,11782.0
Central African Republic,CAF,496.0
Central Europe and the Baltics,CEB,22488.0
Chad,TCD,681.0
Chile,CHL,17068.0
China,CHN,12614.0
Colombia,COL,6948.0
Comoros,COM,1590.0
"Congo, Dem. Rep.",COD,628.0
"Congo, Rep.",COG,2478.0
Costa Rica,CRI,16942.0
Cote d'Ivoire,CIV,2528.0
Croatia,HRV,21424.0
Cyprus,CYP,23963.0
Czechia,CZE,30454.0
Denmark,DNK,67967.0
Djibouti,DJI,3555.0
Dominica,DMA,9833.0
Dominican Republic,DOM,10718.0
Early-demographic dividend,EAR,4228.0
East Asia & Pacific,EAS,12907.0
East Asia & Pacific (IDA & IBRD countries),TEA,10006.0
East Asia & Pacific (excluding high income),EAP,9895.0
Ecuador,ECU,6610.0
"Egypt, Arab Rep.",EGY,3457.0
El Salvador,SLV,5391.0
Equatorial Guinea,GNQ,6558.0
Estonia,EST,29735.0
Eswatini,SWZ,3737.0
Ethiopia,ETH,1272.0
Euro area,EMU,44444.0
Europe & Central Asia,ECS,29457.0
Europe & Central Asia (IDA & IBRD countries),TEC,11919.0
Europe & Central Asia (excluding high income),ECA,8437.0
European Union,EUU,40877.0
Fiji,FJI,5946.0
Finland,FIN,53759.0
Fragile and conflict affected situations,FCS,1804.0
France,FRA,44329.0
Gabon,GAB,8257.0
"Gambia, The",GMB,867.0
Georgia,GEO,8218.0
Germany,DEU,53503.0
Ghana,GHA,2260.0
Greece,GRC,22888.0
Grenada,GRD,11277.0
Guatemala,GTM,5630.0
Guinea,GIN,1639.0
Guinea-Bissau,GNB,913.0
Guyana,GUY,20314.0
Haiti,HTI,1706.0
Heavily indebted poor countries (HIPC),HPC,1232.0
High income,HIC,48043.0
Honduras,HND,3232.0
"Hong Kong SAR, China",HKG,50697.0
Hungary,HUN,22142.0
IBRD only,IBD,7821.0
IDA & IBRD total,IBT,6060.0
IDA blend,IDB,1571.0
IDA only,IDX,1438.0
IDA total,IDA,1484.0
Iceland,ISL,80433.0
India,IND,2469.0
Indonesia,IDN,4876.0
"Iran, Islamic Rep.",IRN,4431.0
Iraq,IRQ,5565.0
Ireland,IRL,102725.0
Israel,ISR,51772.0
Italy,ITA,38228.0
Jamaica,JAM,6840.0
Japan,JPN,33834.0
Jordan,JOR,4442.0
Kazakhstan,KAZ,12859.0
Kenya,KEN,1941.0
Kiribati,KIR,2105.0
"Korea, Rep.",KOR,33121.0
Kosovo,XKX,6203.0
Kuwait,KWT,33332.0
Kyrgyz Republic,KGZ,1970.0
Lao PDR,LAO,2067.0
Late-demographic dividend,LTE,12183.0
Latin America & Caribbean,LCN,10788.0
Latin America & Caribbean (excluding high income),LAC,10257.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,10543.0
Latvia,LVA,23160.0
Least developed countries: UN classification,LDC,1296.0
Lesotho,LSO,885.0
Liberia,LBR,789.0
Libya,LBY,6911.0
Lithuania,LTU,27106.0
Low & middle income,LMY,5759.0
Low income,LIC,1064.0
Lower middle income,LMC,2396.0
Luxembourg,LUX,128678.0
"Macao SAR, China",MAC,69331.0
Madagascar,MDG,514.0
Malawi,MWI,667.0
Malaysia,MYS,11377.0
Maldives,MDV,12548.0
Mali,MLI,879.0
Malta,MLT,37914.0
Marshall Islands,MHL,7314.0
Mauritania,MRT,2081.0
Mauritius,MUS,11530.0
Mexico,MEX,13788.0
"Micronesia, Fed. Sts.",FSM,4084.0
Middle East & North Africa,MEA,5374.0
Middle East & North Africa (IDA & IBRD countries),TMN,2251.0
Middle East & North Africa (excluding high income),MNA,2258.0
Middle income,MIC,6244.0
Moldova,MDA,6729.0
Mongolia,MNG,5709.0
Montenegro,MNE,11875.0
Morocco,MAR,3742.0
