Quarter,Year,Sector,Vacancy_Count,Median_Salary,Visa_Grants
2021-Q1,2021,Technology,39000,40826,14328
2021-Q2,2021,Technology,49000,40826,14328
2021-Q3,2021,Technology,65000,40826,14328
2021-Q4,2021,Technology,70000,40826,14328
2022-Q1,2022,Technology,75000,43005,22529
2022-Q2,2022,Technology,78000,43005,22529
2022-Q3,2022,Technology,65000,43005,22529
2022-Q4,2022,Technology,57000,43005,22529
2023-Q1,2023,Technology,54000,46042,15484
2023-Q2,2023,Technology,47000,46042,15484
2023-Q3,2023,Technology,45000,46042,15484
2023-Q4,2023,Technology,42000,46042,15484
2024-Q1,2024,Technology,42000,51024,12124
2024-Q2,2024,Technology,41000,51024,12124
2024-Q3,2024,Technology,38000,51024,12124
2024-Q4,2024,Technology,38000,51024,12124
2025-Q1,2025,Technology,35000,52908,9214
2025-Q2,2025,Technology,35000,52908,9214
2025-Q3,2025,Technology,36000,52908,9214
2025-Q4,2025,Technology,37000,52908,9214
2021-Q1,2021,Healthcare,131000,34887,32358
2021-Q2,2021,Healthcare,153000,34887,32358
2021-Q3,2021,Healthcare,179000,34887,32358
2021-Q4,2021,Healthcare,202000,34887,32358
2022-Q1,2022,Healthcare,213000,35485,79869
2022-Q2,2022,Healthcare,210000,35485,79869
2022-Q3,2022,Healthcare,216000,35485,79869
2022-Q4,2022,Healthcare,205000,35485,79869
2023-Q1,2023,Healthcare,198000,36898,150735
2023-Q2,2023,Healthcare,185000,36898,150735
2023-Q3,2023,Healthcare,179000,36898,150735
2023-Q4,2023,Healthcare,171000,36898,150735
2024-Q1,2024,Healthcare,163000,39732,28232
2024-Q2,2024,Healthcare,158000,39732,28232
2024-Q3,2024,Healthcare,147000,39732,28232
2024-Q4,2024,Healthcare,141000,39732,28232
2025-Q1,2025,Healthcare,135000,40318,14064
2025-Q2,2025,Healthcare,135000,40318,14064
2025-Q3,2025,Healthcare,127000,40318,14064
2025-Q4,2025,Healthcare,124000,40318,14064
2021-Q1,2021,Finance,25000,37067,7284
2021-Q2,2021,Finance,34000,37067,7284
2021-Q3,2021,Finance,44000,37067,7284
2021-Q4,2021,Finance,47000,37067,7284
2022-Q1,2022,Finance,49000,38818,12682
2022-Q2,2022,Finance,56000,38818,12682
2022-Q3,2022,Finance,53000,38818,12682
2022-Q4,2022,Finance,49000,38818,12682
2023-Q1,2023,Finance,43000,40604,9532
2023-Q2,2023,Finance,38000,40604,9532
2023-Q3,2023,Finance,36000,40604,9532
2023-Q4,2023,Finance,35000,40604,9532
2024-Q1,2024,Finance,35000,44345,8470
2024-Q2,2024,Finance,33000,44345,8470
2024-Q3,2024,Finance,34000,44345,8470
2024-Q4,2024,Finance,34000,44345,8470
2025-Q1,2025,Finance,34000,47173,8142
2025-Q2,2025,Finance,32000,47173,8142
2025-Q3,2025,Finance,33000,47173,8142
2025-Q4,2025,Finance,34000,47173,8142
2021-Q1,2021,Engineering,29000,40984,14562
2021-Q2,2021,Engineering,31000,40984,14562
2021-Q3,2021,Engineering,44000,40984,14562
2021-Q4,2021,Engineering,40000,40984,14562
2022-Q1,2022,Engineering,45000,42482,27439
2022-Q2,2022,Engineering,51000,42482,27439
2022-Q3,2022,Engineering,47000,42482,27439
2022-Q4,2022,Engineering,42000,42482,27439
2023-Q1,2023,Engineering,39000,44571,23924
2023-Q2,2023,Engineering,39000,44571,23924
2023-Q3,2023,Engineering,33000,44571,23924
2023-Q4,2023,Engineering,36000,44571,23924
2024-Q1,2024,Engineering,37000,46972,17409
2024-Q2,2024,Engineering,37000,46972,17409
2024-Q3,2024,Engineering,39000,46972,17409
2024-Q4,2024,Engineering,34000,46972,17409
2025-Q1,2025,Engineering,43000,49155,13727
2025-Q2,2025,Engineering,30000,49155,13727
2025-Q3,2025,Engineering,30000,49155,13727
2025-Q4,2025,Engineering,30000,49155,13727
2021-Q1,2021,Education,40000,35969,4394
2021-Q2,2021,Education,51000,35969,4394
2021-Q3,2021,Education,61000,35969,4394
2021-Q4,2021,Education,66000,35969,4394
2022-Q1,2022,Education,67000,32884,5427
2022-Q2,2022,Education,69000,32884,5427
2022-Q3,2022,Education,71000,32884,5427
2022-Q4,2022,Education,69000,32884,5427
2023-Q1,2023,Education,68000,34274,6376
2023-Q2,2023,Education,63000,34274,6376
2023-Q3,2023,Education,60000,34274,6376
2023-Q4,2023,Education,59000,34274,6376
2024-Q1,2024,Education,57000,38521,4847
2024-Q2,2024,Education,57000,38521,4847
2024-Q3,2024,Education,55000,38521,4847
2024-Q4,2024,Education,51000,38521,4847
2025-Q1,2025,Education,49000,40837,2557
2025-Q2,2025,Education,43000,40837,2557
2025-Q3,2025,Education,49000,40837,2557
2025-Q4,2025,Education,51000,40837,2557
