Organisation_Match,Sector
(IECC CARE) INDEPENDENT EXCEL CARE CONSORTIUM LIMITED,Healthcare
003 LTD,Education
09 CARE LIMITED,Healthcare
0XA TECHNOLOGIES LTD,Finance
1 ACE TRAINING LIMITED,Education
1 ALS LIMITED,Education
1 ANSWER INSURANCE SERVICES LTD.,Finance
1 DIGITALS EUROPE LIMITED,Technology
1 STEP BEYOND SUPPORT LTD,Healthcare
10 EUROPE LIMITED,Engineering
107 CANNON STREET LIMITED,Finance
10:10 GAMES LIMITED,Technology
10BE5 LTD.,Technology
10BIT FX LIMITED,Technology
10PEARLS LTD,Technology
11AND12 LIMITED,Engineering
11PLUS TEACHER LTD,Technology
11X LIMITED,Technology
1218 UK LIMITED,Technology
123 E-FILING LIMITED,Technology
1416 DIGITAL LTD,Technology
152 HARLEY STREET LIMITED,Healthcare
15GIFTS LTD,Technology
1771 TECHNOLOGIES LIMITED,Technology
1783 LIMITED,Finance
18 DEGREES BELOW LTD,Engineering
18 WEEK SUPPORT LIMITED,Healthcare
1854 MEDIA LIMITED,Technology
18PLUS SUPPORT LIMITED,Healthcare
1A ORTHODONTICS LIMITED,Healthcare
1BREADCRUMB UK LTD,Technology
1E LIMITED,Technology
1GLOBAL OPERATIONS (UK) LIMITED,Technology
1OAK CAPITAL LIMITED,Finance
1OSD LTD,Healthcare
1PARTCARBON LTD,Technology
1PS GROUP LIMITED,Finance
1ST ADTUBE LIMITED,Technology
1ST CLASS CARE SOLUTIONS LIMITED,Healthcare
1ST ENABLE LTD,Healthcare
1ST GRADE CARE LTD,Healthcare
1ST HOMECARE SOLUTIONS LIMITED,Healthcare
1ST MED LIMITED,Healthcare
1ST TECHNOLOGIES LTD,Technology
2 CARERS LTD,Healthcare
200OK SOLUTIONS LTD,Technology
2035 LTD,Technology
21 SIX PLATFORM LIMITED,Finance
21D CLINICAL LIMITED,Healthcare
21ST CENTURY CARE (PLYMOUTH) LIMITED,Healthcare
247 IT SERVICES LIMITED,Technology
24HAYMARKET LIMITED,Finance
24SQ LIMITED,Technology
27FOUR (UK) LTD,Finance
28B LIMITED,Technology
29FORWARD LTD,Technology
2:30 LIMITED,Healthcare
2BIT TECH LIMITED,Technology
2CONNECT EQUITIES LTD,Technology
2DEES LTD,Healthcare
2ELV HORIZON LIMITED,Technology
2I LIMITED,Technology
2INNOVATIVE LTD,Technology
2RSQ SERVICES LTD,Technology
2SD TECHNOLOGIES LIMITED,Technology
3 ANGELS COMPLEX CARE SERVICES LTD,Healthcare
3 F INTERNATIONAL LIMITED,Healthcare
3 PEAKS HEALTH LIMITED,Healthcare
3 SIDED CUBE (UK) LTD,Technology
3 SPIRIT ENTERPRISE UK LIMITED,Education
30SECONDS GROUP LTD,Technology
313 VISION CARE LTD,Healthcare
33N LTD,Technology
345 TECHNOLOGY LIMITED,Technology
360 DEGREES CLINIC LTD,Healthcare
360 DIGI MARKETING LTD,Technology
360 HEALTH LTD,Healthcare
360 TRADING NETWORKS UK LIMITED,Finance
365 CHILDMINDING LTD,Education
365 IT PRO LIMITED,Technology
365 SUPPORT LIMITED,Healthcare
381 MS LTD,Technology
3A CARE (BROMSGROVE) LTD,Healthcare
3A TELECOM CONSULTANCY LTD,Technology
3AB CARE LIMITED,Education
3ADESIGN LTD,Engineering
3AI LTD,Engineering
3BELLE.AMI HEALTH LIMITED,Healthcare
3D CARE (CARDIFF) LIMITED,Healthcare
3D TECHNICAL DESIGN LIMITED,Engineering
3DMD TECHNOLOGIES LIMITED,Technology
3DREID LIMITED,Engineering
3F BIO LTD,Engineering
3FORGE UK LTD,Technology
3GI TECHNOLOGY LIMITED,Technology
3I INFOTECH (UK) LIMITED,Technology
3I PLC,Finance
3MSE LTD,Engineering
3R EPOS LIMITED,Technology
3RDI LIMITED,Technology
3S COMMERCIAL LTD,Engineering
3S KNOWLEDGE LIMITED,Engineering
3S MONEY CLUB LIMITED,Technology
3VRM LIMITED,Technology
3X TECH LTD,Technology
4 EYES CAPITAL LIMITED,Finance
4 WAYS HEALTHCARE LIMITED,Healthcare
42 TECHNOLOGY LIMITED,Engineering
44 ENERGY LTD,Engineering
44PIXELS LIMITED,Technology
4A TECHNOLOGIES LTD,Technology
4DS NURSERIES AND PRE SCHOOL LTD,Education
4IAPPS SOLUTIONS LTD,Technology
4J STUDIOS LIMITED,Technology
4K NETWORKS LTD,Technology
4PS CONSTRUCTION SOLUTIONS LIMITED,Technology
4RDIGITAL LIMITED,Technology
4S UK CONSULTING LIMITED,Technology
4T MARKETS LIMITED,Finance
4T2 SENSORS LTD,Engineering
4WAY CONSULTING LTD,Engineering
5 DIMENSIONS TRUST,Education
542 DIGITAL LIMITED,Technology
5AB CARE LTD,Healthcare
5G COMMUNICATIONS LIMITED,Technology
5G3I LTD,Engineering
5STARS TOTAL SOLUTIONS LTD,Technology
5Y TECHNOLOGY LIMITED,Technology
6 BIT EDUCATION LTD,Technology
60X LTD,Technology
663 DESIGN LTD,Engineering
6INTO7 LTD,Technology
6SOFT LTD,Technology
7 ES OUTSOURCE LTD,Technology
7 HILLS ICT SERVICES LTD,Technology
7 HILLS SOLUTIONS LTD,Technology
73 STRINGS LTD,Technology
7AM LIMITED,Technology
7DXPERTS UK LTD,Technology
7HILLS TECHNOLOGIES LTD,Technology
7N ARCHITECTS (RANDOLPH) LTD,Engineering
7RIDGE LIMITED,Finance
"80,000 HOURS LIMITED",Education
8687 LTD,Technology
89UP LTD,Technology
8X8 UK LIMITED,Technology
9 MONTHS LIMITED,Education
90 SLOANE STREET LIMITED,Healthcare
9FIN LIMITED,Technology
9NEXUS LIMITED,Technology
9PARTICLE LTD,Technology
@@@ FILER LIMITED,Technology
A & A MOBILE LTD,Technology
A & B DENTAL LTD,Healthcare
A & R CARE LIMITED,Healthcare
A & Z CONSULTANCY SERVICES LTD,Technology
A B GRAPHIC INTERNATIONAL LIMITED,Engineering
A CLASS NURSERY LTD,Education
A CLOUD GURU LTD,Technology
A DESIGN STUDIO LIMITED,Engineering
A K SOFTWARE HOUSE LTD,Technology
A KARIM PHARMA LTD,Healthcare
A KOMMS LTD,Technology
A LITTLE PEACE OF MIND LTD,Healthcare
A ONE STAR MARKETING LIMITED,Technology
A R VISION LIMITED,Technology
A RABBIT'S FOOT LTD,Technology
A RATED HOMECARE LTD,Healthcare
A SILVA STUDIO LIMITED,Healthcare
A STAR CARE SERVICES LIMITED,Healthcare
A STAR SUPPORT SERVICES LTD,Healthcare
A&A HOMECARE LTD,Healthcare
A&J ASSISTED LIVING LTD,Healthcare
A&J CARE LIMITED,Healthcare
A&J SCHOOL LIMITED,Education
A&O SHARED SOLUTIONS LIMITED,Technology
A&R GUARDIAN SERVICES LIMITED,Healthcare
A&S ENG SERVICES LIMITED,Engineering
A&S RESCUE SERVICES LIMITED,Healthcare
A&T CARING SERVICES LTD,Healthcare
A-2-SEA SOLUTIONS LIMITED,Technology
A-LOGICS LTD,Technology
A-PLAN HOLDINGS,Finance
A-SQUARED STUDIO ENGINEERS LTD,Engineering
A-TECH FABRICATIONS LIMITED,Engineering
A-TO-E TRAINING AND SOLUTIONS LTD,Education
A-Z LEARNING ACADEMY LTD,Education
A. H. J. DAVID LIMITED,Healthcare
A.C.C.E.S.S 2016 LIMITED,Healthcare
A.G.E. NURSING HOMES LIMITED,Healthcare
A.K MARINE SERVICES LTD,Engineering
A.R.M TECHNOLOGIES LIMITED,Technology
A/O VC UK LIMITED,Finance
A1 APPLIANCE REPAIRS LIMITED,Engineering
A1 CHIRO LTD,Healthcare
A1 QUALITY HOME CARE LIMITED,Healthcare
A1 TELECOMMUNICATION SERVICES LTD,Technology
A1M TRAINING LTD,Education
A1PHA SECURITY SERVICES LTD,Finance
A2 ENGINEERING LTD,Engineering
A2MAR CONSULTANCY LIMITED,Engineering
A2Z SOFTWARE SOLUTIONS LIMITED,Technology
A2Z STAFFING SOLUTIONS LIMITED,Technology
A2Z TECHNOLOGIES LTD,Technology
A3 CARE LTD,Healthcare
A3CHIRO LIMITED,Healthcare
A3N CONSULTING LIMITED,Technology
A3PRO LTD,Technology
A3S SOLUTIONS LIMITED,Engineering
A4FM LTD,Technology
A4S SERVICES LIMITED,Finance
AA ACCESS PARTNERSHIP LIMITED,Technology
AA ARTS LIMITED,Education
AA BUSINESS CONSULTING LIMITED,Technology
AA FINANCIAL BIZZ LIMITED,Technology
AA HEALTHCARE SERVICES LTD,Healthcare
AA LIMITED,Finance
AA MOBILES LIMITED,Technology
AA NOVA LIMITED,Technology
AA TECHNOLOGY SOLUTIONS LTD,Technology
AAA DENTALAB LTD,Healthcare
AAA HOMECARE LIMITED,Healthcare
AAASE CONSULTANTS LTD,Engineering
AABAN PARTNERSHIP LIMITED,Healthcare
AADYA IT LIMITED,Technology
AALYRIA TECHNOLOGIES (UK) LIMITED,Technology
AAMBROS TRADING LTD,Technology
AAN TECHNOLOGIES LIMITED,Technology
AAPNA SERVICES LIMITED,Healthcare
AAREON UK LIMITED,Technology
AAREVA LTD,Finance
AARJ CARE SERVICES LTD,Healthcare
AARK HEALTH LIMITED,Healthcare
AARKI (UK) LIMITED,Technology
AARTI CONSULTING SERVICES LIMITED,Technology
AARUN SOFTWARE LIMITED,Technology
AARVN IT LTD,Technology
AARYAN MOBILE AND COMPUTER SERVICES LIMITED,Technology
AASHIKA LTD,Technology
AASRA CARE LIMITED,Healthcare
AATECH SOLUTIONS LTD,Technology
AAVE LIMITED,Technology
AB CREATIONS LIMITED,Healthcare
AB DENTAL LTD,Healthcare
AB GYNAE LIMITED,Healthcare
AB SOFTWARE SOLUTIONS LTD,Technology
ABA CONNECTED LIMITED,Education
ABACUS CARE SOLUTIONS LTD,Healthcare
ABACUS HEALTHCARE LTD,Healthcare
ABACUS INFORMATION TECHNOLOGY UK LIMITED,Technology
ABACUS-69 HOLDINGS LIMITED,Finance
ABAS SOLUTIONS LTD,Technology
ABBEY CARE SOLUTIONS LIMITED,Healthcare
ABBEY GRANGE CARE HOME LTD,Healthcare
ABBEY HEALTHCARE (AARON COURT) LIMITED,Healthcare
ABBEY HEALTHCARE (HAMILTON) LTD,Healthcare
ABBEY MULTI ACADEMY TRUST,Education
ABBEY PRECISION LIMITED,Engineering
ABBEY PRIVATE NURSING HOME LTD,Healthcare
ABBEY SCHOOL LIMITED,Healthcare
ABBEY TYRES AND MECHANIC LIMITED,Engineering
ABBEYFIELD NORTHUMBRIA,Healthcare
ABBEYSIDE NURSING HOME LIMITED,Healthcare
ABBFEM CONSULTING LIMITED,Technology
ABBOTT GREEN SERVICES LTD,Technology
ABBYY UK LTD,Technology
ABC CARE HOME LTD,Healthcare
ABC DAYCARE LTD,Healthcare
ABC EDUCATION CONSULTANCY LTD,Education
ABC INTERNATIONAL BANK PLC,Finance
ABC REFRIGERATION LTD,Engineering
ABC SMILE LTD,Healthcare
ABC STUDIO CHILDCARE LTD,Healthcare
ABDI & ABDI LIMITED,Engineering
ABDULLAH CHILDCARE LIMITED,Healthcare
ABEC LTD,Engineering
ABELON SYSTEMS LIMITED,Technology
ABER SOFT LIMITED,Technology
ABERCARE LIMITED,Healthcare
ABERDEEN ASSOCIATION OF SOCIAL SERVICE,Education
ABERDEEN CYRENIANS LIMITED,Healthcare
ABERDEEN DENTAL CARE LIMITED,Healthcare
ABERDONIA CARE LIMITED,Healthcare
ABERDOUR SCHOOL EDUCATIONAL TRUST,Education
ABERGARW CARE HOME LIMITED,Healthcare
ABETTER HEALTH LTD,Healthcare
ABEX CAPITAL LIMITED,Technology
ABEXON LTD,Technology
ABI BUSINESS SERVICES LIMITED,Technology
ABI DEVELOPMENTS 3 LIMITED,Healthcare
ABI STEEL WORKS LTD,Engineering
ABI TECHNOLOGY LIMITED,Technology
ABIDE HOME CARE LIMITED,Healthcare
ABILITIES DEVELOPMENT LTD,Education
ABILITY HEALTHCARE CANNOCK LTD,Healthcare
ABILITY OPTIONS LTD,Healthcare
ABILITYNET,Technology
ABINGDON LEARNING TRUST,Education
ABINGDON NURSERIES LIMITED,Education
ABINGDON SCHOOL,Education
ABITOL SERVICES LIMITED,Healthcare
ABJAK LTD,Technology
ABL CARE LTD,Healthcare
ABL ENERGY & MARINE CONSULTANTS LIMITED,Engineering
ABLE CARE HUDDERSFIELD LTD,Healthcare
ABLE HANDS HEALTHCARE LTD,Healthcare
ABLECARE (HELSTON) LIMITED,Healthcare
ABLECARE (PHILIPHAUGH) LTD,Healthcare
ABLEGRANGE (WEMBLEY) LIMITED,Healthcare
ABLETRUST CARE LIMITED,Healthcare
ABM ACADEMY LIMITED,Education
ABMI ENGINEERING UK LTD,Engineering
ABNERCARE LTD,Healthcare
ABNEY & BAKER (BATH) LTD,Healthcare
ABNORMAL AI UK LTD,Technology
ABODE HEALTHCARE LTD,Healthcare
ABOUT:ENERGY LIMITED,Engineering
ABOVE SURVEYING LTD,Technology
